MR_AUTitem,MR_AUTitem_mrk
Autoreifen,101
Badewanne,102
Bananenschale,103
Blumenvase,104
Bügeleisen,105
Feuerzeug,106
Föhn,107
Frisbee,108
Gabel,109
Glocke,110
Gürtel,111
Handtuch,112
Hufeisen,113
Hut,114
Kaffeefilter,115
Kamm,116
Kerze,117
Kleiderhaken,118
Klopapier,119
Knetmasse,120
Konservendose,121
Krawatte,122
Lampe,123
Lineal,124
Locher,125
Mülleimer,126
Pflaster,127
Pinsel,128
Polster,129
Reisekoffer,130
Schaumstoffpolster,131
Seil,132
Socke,133
Spiegel,134
Stirnband,135
Tischtennisball,136
Uhr,137
Zahnbürste,138
Zahnpasta,139
Ziegelstein,140
